gps_epoch_s,raw_lat,raw_lon,filt_lat,filt_lon,raw_unc_m,filt_unc_x_m,filt_unc_y_m,speed_kmh,sats_used,sats_in_view,direction,altitude_m,alt_unc_m,fix_quality
1770712318.0,57.83445333333334,12.307241166666666,57.83445290236583,12.307241270596752,3.025,2.5,2.5,0.6424428584968682,7,7,Reverse,76.4,4.5375,1
1770712318.995,57.83445116666667,12.307235333333331,57.834452034516254,12.307238301965041,3.025,2.5,2.5,0.6771994443077206,7,7,Reverse,76.7,4.5375,1
1770712320.0,57.83444883333333,12.30722,57.83445043392479,12.30722915098252,3.025,2.5,2.5,0.9558802649471807,7,7,Reverse,76.6,4.5375,1
1770712321.006,57.83445716666667,12.307221,57.83445380029573,12.30722507549126,3.025,2.5,2.5,1.0354974121139264,7,7,Reverse,76.7,4.5375,1
1770712322.0,57.834461499999996,12.307227000000001,57.83445765014786,12.30722603774563,3.025,2.5,2.5,1.06044622187236,7,7,Reverse,76.9,4.5375,1
1770712323.004,57.83445933333334,12.307224166666666,57.834458491740605,12.307225102206148,3.025,2.5,2.5,1.0170621910632103,7,7,Reverse,77.2,4.5375,1
1770712323.999,57.83445700000001,12.3072275,57.8344577458703,12.307226301103075,3.025,2.5,2.5,0.9191911363606512,7,7,Reverse,77.3,4.5375,1
1770712325.003,57.83446166666666,12.307235333333331,57.83445970626848,12.307230817218203,3.025,2.5,2.5,0.8254700843129767,7,7,Reverse,77.5,4.5375,1
1770712325.997,57.83446033333333,12.307239166666667,57.83446001980091,12.307234991942435,3.025,2.5,2.5,0.6726043637409866,7,7,Reverse,77.7,4.5375,1
1770712327.002,57.8344585,12.307240166666668,57.834459259900456,12.307237579304552,3.025,2.5,2.5,0.5721166501663435,7,7,Reverse,77.9,4.5375,1
1770712327.996,57.83445433333333,12.307238833333335,57.83445679661689,12.307238206318942,3.025,2.5,2.5,0.5451937532362796,7,7,Reverse,78.0,4.5375,1
1770712329.002,57.83445100000001,12.307238333333332,57.83445389830845,12.307238269826138,3.025,2.5,2.5,0.5470000335427357,7,7,Reverse,78.2,4.5375,1
1770712329.996,57.83445216666667,12.307242166666667,57.83445303248756,12.307240218246402,3.025,2.5,2.5,0.47183055979497346,7,7,Reverse,78.2,4.5375,1
1770712330.992,57.83445083333333,12.3072465,57.83445193291045,12.3072433591232,3.025,2.5,2.5,0.39331428684140823,7,7,Reverse,78.2,4.5375,1
1770712331.997,57.83445116666667,12.3072475,57.834451549788554,12.3072454295616,3.025,2.5,2.5,0.33969326609583844,7,7,Reverse,78.4,4.5375,1
1770712333.001,57.8344475,12.307241833333334,57.83444952489428,12.307243631447468,3.025,2.5,2.5,0.4018538234822727,7,7,Reverse,78.5,4.5375,1
1770712333.997,57.83445149999999,12.307244166666665,57.834450512447134,12.307243899057067,3.025,2.5,2.5,0.36048346786721197,7,7,Reverse,78.4,4.5375,1
1770712335.002,57.8344555,12.3072435,57.83445300622357,12.307243699528533,3.025,2.5,2.5,0.4518213219619314,7,7,Reverse,78.1,4.5375,1
1770712336.007,57.83446049999999,12.307249666666667,57.83445675311178,12.3072466830976,3.025,2.5,2.5,0.5877147974525415,7,7,Reverse,77.5,4.5375,1
1770712337.0,57.83445583333334,12.307249166666669,57.83445629322256,12.307247924882134,3.025,2.5,2.5,0.5848894652320734,7,7,Reverse,77.1,4.5375,1
1770712337.996,57.834453,12.307247833333333,57.83445464661128,12.307247879107734,3.025,2.5,2.5,0.6584656267184839,7,7,Reverse,76.9,4.5375,1
1770712339.001,57.8344625,12.307260833333332,57.83445857330564,12.307254356220533,3.025,2.5,2.5,0.6912609912983577,7,7,Reverse,76.7,4.5375,1
1770712339.996,57.83446533333334,12.307266166666667,57.83446195331949,12.3072602614436,3.025,2.5,2.5,0.7054845479660949,7,7,Reverse,76.3,4.5375,1
1770712340.999,57.834458833333336,12.307271166666665,57.83446039332642,12.307265714055132,3.025,2.5,2.5,0.7404168823007214,7,7,Reverse,76.3,4.5375,1
1770712341.995,57.83445616666666,12.307266833333331,57.83445827999654,12.307266273694232,3.025,2.5,2.5,0.7892918118994905,7,7,Reverse,76.0,4.5375,1
1770712343.001,57.83445700000001,12.307264166666668,57.83445763999827,12.307265220180449,3.025,2.5,2.5,0.7810050379743405,7,7,Reverse,75.8,4.5375,1
