timestamp,raw_lat,raw_lon,filt_lat,filt_lon,raw_unc_m,filt_unc_m,hdop,speed_kmh,sats_used,sats_in_view,direction
1770562909.9649107,57.83440750,12.30728033,57.83440869,12.30728040,2.552,2.500,1.380,0.47,6,6,Stopped
1770562910.9542987,57.83440450,12.30727767,57.83440660,12.30727903,2.552,2.500,1.380,0.34,6,6,Stopped
1770562911.9670117,57.83440900,12.30727550,57.83440780,12.30727727,2.552,2.500,1.380,0.95,6,6,Stopped
1770562912.9534397,57.83440533,12.30727817,57.83440657,12.30727772,2.552,2.500,1.380,0.48,6,6,Stopped
1770562913.9709716,57.83439983,12.30728383,57.83440320,12.30728077,2.552,2.500,1.380,0.32,6,6,Stopped
1770562914.962972,57.83440067,12.30727783,57.83440193,12.30727930,2.552,2.500,1.380,1.08,6,6,Stopped
1770562915.9707491,57.83440167,12.30727650,57.83440180,12.30727790,2.552,2.500,1.380,1.27,6,6,Stopped
1770562916.966211,57.83440183,12.30727817,57.83440182,12.30727803,2.552,2.500,1.380,1.22,6,6,Stopped
1770562917.9589102,57.83439167,12.30727883,57.83439674,12.30727843,2.552,2.500,1.380,1.47,6,6,Stopped
1770562918.96716,57.83438683,12.30727983,57.83439179,12.30727913,2.552,2.500,1.380,1.51,6,6,Stopped
1770562919.9625027,57.83439600,12.30728783,57.83439389,12.30728348,2.552,2.500,1.380,0.19,6,6,Forward
1770562920.9694667,57.83439517,12.30729233,57.83439453,12.30728791,2.552,2.500,1.380,0.40,6,6,Forward
1770562921.964114,57.83438800,12.30729183,57.83439127,12.30728987,2.552,2.500,1.380,1.00,6,6,Stopped
1770562922.953681,57.83439017,12.30730050,57.83439072,12.30729519,2.552,2.500,1.380,0.88,6,6,Forward
1770562923.9677749,57.83438667,12.30731083,57.83438869,12.30730301,2.552,2.500,1.380,1.30,6,6,Forward
1770562924.9623618,57.83438367,12.30731950,57.83438618,12.30731125,3.029,2.500,1.880,1.47,5,5,Forward
1770562925.9667497,57.83438217,12.30732883,57.83438417,12.30732004,3.029,2.500,1.880,1.63,5,5,Forward
1770562926.9636755,57.83437950,12.30733317,57.83438184,12.30732661,3.029,2.500,1.880,1.52,5,5,Forward
1770562927.959667,57.83439833,12.30732950,57.83439008,12.30732805,3.038,2.500,1.890,1.50,5,5,Stopped
1770562928.9646952,57.83441667,12.30731083,57.83440338,12.30731944,2.943,2.500,1.790,1.09,6,6,Reverse
1770562929.9499373,57.83441850,12.30730267,57.83441094,12.30731105,2.943,2.500,1.790,0.14,6,6,Reverse
1770562930.970473,57.83442633,12.30729350,57.83441864,12.30730228,2.943,2.500,1.790,0.56,6,6,Reverse
1770562931.9628322,57.83443100,12.30729267,57.83442482,12.30729747,2.943,2.500,1.790,0.37,6,6,Reverse
1770562932.9585452,57.83442700,12.30728367,57.83442591,12.30729057,2.943,2.500,1.790,0.82,6,6,Reverse
1770562933.964541,57.83442350,12.30727350,57.83442470,12.30728203,2.943,2.500,1.790,1.38,6,6,Reverse
1770562934.959813,57.83442567,12.30728000,57.83442519,12.30728102,2.943,2.500,1.790,1.11,6,6,Stopped
1770562935.9651365,57.83443150,12.30728300,57.83442834,12.30728201,2.943,2.500,1.790,0.80,6,6,Stopped
1770562936.963621,57.83443967,12.30728167,57.83443400,12.30728184,2.943,2.500,1.790,1.58,6,6,Stopped
1770562937.9578953,57.83443967,12.30727100,57.83443684,12.30727642,2.952,2.500,1.800,0.93,6,6,Reverse
1770562938.9535227,57.83444217,12.30726967,57.83443950,12.30727304,2.952,2.500,1.800,1.06,6,6,Stopped
1770562939.9591753,57.83444500,12.30726900,57.83444225,12.30727102,2.952,2.500,1.800,1.06,6,6,Stopped
1770562940.9646025,57.83444317,12.30727017,57.83444271,12.30727059,2.952,2.500,1.800,0.55,6,6,Stopped
1770562941.952942,57.83443917,12.30727417,57.83444094,12.30727238,2.952,2.500,1.800,0.34,6,6,Stopped
1770562942.9664216,57.83444233,12.30726967,57.83444164,12.30727102,2.952,2.500,1.800,0.77,6,6,Stopped
1770562943.9542801,57.83443367,12.30726567,57.83443765,12.30726835,2.952,2.500,1.800,0.89,6,6,Stopped
1770562944.9696035,57.83442267,12.30726583,57.83443016,12.30726709,2.952,2.500,1.800,1.59,6,6,Stopped
1770562945.9499018,57.83441900,12.30726133,57.83442458,12.30726421,2.952,2.500,1.800,1.08,6,6,Stopped
1770562946.96044,57.83441983,12.30725617,57.83442221,12.30726019,2.952,2.500,1.800,0.47,6,6,Reverse
1770562947.9653904,57.83441600,12.30725350,57.83441910,12.30725684,2.952,2.500,1.800,1.02,6,6,Stopped
1770562948.9616868,57.83442583,12.30726167,57.83442247,12.30725926,2.952,2.500,1.800,1.14,6,6,Stopped
1770562949.9710526,57.83442033,12.30726033,57.83442140,12.30725979,2.952,2.500,1.800,0.48,6,6,Stopped
1770562950.966315,57.83441950,12.30725883,57.83442045,12.30725931,2.952,2.500,1.800,0.61,6,6,Stopped
1770562951.9728837,57.83440817,12.30725717,57.83441431,12.30725824,2.952,2.500,1.800,0.92,6,6,Stopped
1770562952.967598,57.83440033,12.30725300,57.83440732,12.30725562,2.419,2.500,1.240,1.41,7,7,Stopped
1770562953.9712782,57.83439700,12.30725417,57.83440216,12.30725489,2.419,2.500,1.240,1.21,7,7,Stopped
1770562954.9665349,57.83439200,12.30725500,57.83439708,12.30725495,2.419,2.500,1.240,1.24,7,7,Stopped
1770562955.9560785,57.83440033,12.30725750,57.83439871,12.30725622,2.419,2.500,1.240,0.44,7,7,Stopped
1770562956.9720352,57.83438683,12.30725400,57.83439277,12.30725511,2.962,2.500,1.810,1.14,6,6,Stopped
1770562957.9647417,57.83438217,12.30725067,57.83438747,12.30725289,2.962,2.500,1.810,1.51,6,6,Stopped
1770562958.9709888,57.83437083,12.30724717,57.83437915,12.30725003,2.419,2.500,1.240,2.33,7,7,Stopped
1770562959.9663436,57.83436250,12.30725883,57.83437083,12.30725443,2.419,2.500,1.240,2.53,7,7,Forward
1770562960.9510424,57.83435050,12.30726133,57.83436066,12.30725788,2.419,2.500,1.240,3.17,7,7,Forward
