timestamp,raw_lat,raw_lon,filt_lat,filt_lon,raw_unc_m,filt_unc_m,hdop,speed_kmh,sats_used,sats_in_view
1770561729.9687214,57.83440983,12.30723367,57.83440551,12.30722748,2.381,2.500,1.200,1.37,6,6
1770561730.9729435,57.83440850,12.30723483,57.83440700,12.30723116,2.390,2.500,1.210,0.72,6,6
1770561731.9791129,57.83441200,12.30723950,57.83440950,12.30723533,2.390,2.500,1.210,1.02,6,6
1770561732.977242,57.83441067,12.30724350,57.83441008,12.30723941,2.390,2.500,1.210,0.54,6,6
1770561733.9761212,57.83440867,12.30725017,57.83440938,12.30724479,2.390,2.500,1.210,0.59,6,6
1770561734.9753783,57.83440533,12.30724667,57.83440735,12.30724573,2.390,2.500,1.210,0.65,6,6
1770561735.9749253,57.83439817,12.30724950,57.83440276,12.30724761,2.971,2.500,1.820,1.15,5,5
1770561736.9766948,57.83439550,12.30725700,57.83439913,12.30725231,2.390,2.500,1.210,1.31,6,6
1770561737.972035,57.83438983,12.30723767,57.83439448,12.30724499,2.390,2.500,1.210,1.56,6,6
1770561738.9779322,57.83439117,12.30723650,57.83439282,12.30724074,2.390,2.500,1.210,1.23,6,6
1770561739.9830556,57.83439400,12.30724300,57.83439341,12.30724187,2.390,2.500,1.210,0.62,6,6
1770561740.977557,57.83440083,12.30724450,57.83439712,12.30724319,2.390,2.500,1.210,0.53,6,6
1770561741.9751334,57.83440750,12.30724817,57.83440231,12.30724568,2.390,2.500,1.210,0.81,6,6
1770561742.9539456,57.83441017,12.30725333,57.83440624,12.30724950,2.257,2.500,1.070,0.31,7,7
1770561743.9756272,57.83441650,12.30726800,57.83441137,12.30725875,2.257,2.500,1.070,0.55,7,7
1770561744.971079,57.83441867,12.30726633,57.83441502,12.30726254,2.257,2.500,1.070,0.15,7,7
1770561745.9756753,57.83442167,12.30727267,57.83441834,12.30726760,2.257,2.500,1.070,0.12,7,7
1770561746.9712982,57.83441933,12.30727817,57.83441884,12.30727289,2.257,2.500,1.070,0.63,7,7
1770561747.975878,57.83442350,12.30726633,57.83442117,12.30726961,2.257,2.500,1.070,0.86,7,7
1770561748.9715395,57.83442233,12.30726150,57.83442175,12.30726555,2.390,2.500,1.210,1.06,6,6
1770561749.979121,57.83442267,12.30726017,57.83442221,12.30726286,2.390,2.500,1.210,0.99,6,6
1770561750.973845,57.83442733,12.30726667,57.83442477,12.30726476,2.390,2.500,1.210,0.72,6,6
1770561751.9693046,57.83443483,12.30726450,57.83442980,12.30726463,2.390,2.500,1.210,1.47,6,6
1770561752.9747372,57.83443300,12.30726383,57.83443140,12.30726423,2.390,2.500,1.210,0.88,6,6
1770561753.979775,57.83443167,12.30726050,57.83443153,12.30726237,2.390,2.500,1.210,0.84,6,6
1770561754.974728,57.83442867,12.30726683,57.83443010,12.30726460,2.257,2.500,1.070,0.15,7,7
1770561755.9699998,57.83442433,12.30727033,57.83442722,12.30726747,2.257,2.500,1.070,0.88,7,7
1770561756.9770007,57.83442750,12.30727267,57.83442736,12.30727007,2.257,2.500,1.070,0.52,7,7
1770561757.9720585,57.83442683,12.30726383,57.83442710,12.30726695,3.457,2.500,2.330,0.70,6,6
1770561758.9738846,57.83442433,12.30725783,57.83442571,12.30726239,3.457,2.500,2.330,0.89,6,6
1770561759.972807,57.83442017,12.30725600,57.83442294,12.30725920,2.590,2.500,1.420,0.63,7,7
1770561760.9784632,57.83441300,12.30725933,57.83441797,12.30725926,2.590,2.500,1.420,0.77,7,7
1770561761.9833164,57.83440300,12.30724933,57.83441049,12.30725430,2.590,2.500,1.420,2.01,7,7
1770561762.968682,57.83439167,12.30722933,57.83440108,12.30724182,2.590,2.500,1.420,3.16,7,7
1770561763.9752343,57.83439233,12.30722650,57.83439670,12.30723416,2.590,2.500,1.420,2.78,7,7
1770561764.970816,57.83439850,12.30722483,57.83439760,12.30722950,2.590,2.500,1.420,2.30,7,7
1770561765.976887,57.83439967,12.30723567,57.83439863,12.30723258,2.590,2.500,1.420,1.46,7,7
1770561766.9713428,57.83440183,12.30724583,57.83440023,12.30723921,2.590,2.500,1.420,0.85,7,7
1770561767.9769452,57.83439867,12.30725167,57.83439945,12.30724544,2.590,2.500,1.420,1.32,7,7
1770561768.9726362,57.83440533,12.30725367,57.83440239,12.30724955,2.590,2.500,1.420,0.59,7,7
1770561769.9777157,57.83440150,12.30725883,57.83440195,12.30725419,3.943,2.500,2.840,0.70,5,5
1770561770.9742563,57.83439983,12.30725467,57.83440089,12.30725443,3.943,2.500,2.840,1.21,5,5
1770561771.9799886,57.83440767,12.30725350,57.83440428,12.30725396,3.943,2.500,2.840,1.10,5,5
1770561772.9749458,57.83439483,12.30724750,57.83439956,12.30725073,2.390,2.500,1.210,1.83,6,6
1770561773.9695745,57.83442033,12.30726083,57.83440994,12.30725578,2.390,2.500,1.210,0.64,6,6
1770561774.9747517,57.83443350,12.30728233,57.83442172,12.30726906,2.390,2.500,1.210,1.38,6,6
1770561775.9698174,57.83444350,12.30729050,57.83443261,12.30727978,2.390,2.500,1.210,1.48,6,6
1770561776.9760125,57.83445667,12.30730133,57.83444464,12.30729056,2.390,2.500,1.210,2.09,6,6
1770561777.972556,57.83445500,12.30730333,57.83444982,12.30729694,2.390,2.500,1.210,1.09,6,6
1770561778.9678404,57.83445500,12.30730600,57.83445241,12.30730147,2.390,2.500,1.210,0.64,6,6
1770561779.9732096,57.83445283,12.30730917,57.83445262,12.30730532,2.390,2.500,1.210,0.07,6,6
1770561780.9841058,57.83445167,12.30731983,57.83445214,12.30731258,2.390,2.500,1.210,0.33,6,6
1770561781.9736462,57.83445217,12.30732383,57.83445216,12.30731820,2.333,2.500,1.150,0.32,7,7
1770561782.9795384,57.83445633,12.30733717,57.83445424,12.30732769,2.390,2.500,1.210,0.17,6,6
